ligand,sender_evidence_level,baseline_sender_robustness,paracrine_scope,licensing_context,best_phase4a_tier,tier_A_axis_n,tier_B_axis_n,tier_C_axis_n,receptor_competent_module_n,target_compatible_module_n,reversal_supported_module_n,disease_concordant_module_n,mixed_signed_direction_across_modules,disease_concordant_modules,tier_A_modules,tier_B_modules,interpretation,ordering_rule,source_url
PSEN1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,2,1,1,6,5,4,1,YES,PROGRAM_MODULE_05,PROGRAM_MODULE_01;PROGRAM_MODULE_07,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
SERPINE1,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_UP,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,1,1,1,6,5,2,3,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_10,PROGRAM_MODULE_07,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
TIMP1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,4,0,1,6,5,5,0,NO,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
TIMP2,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,3,1,1,6,5,4,0,NO,,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_07,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
WNT5A,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,1,1,1,6,5,1,4,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_06;PROGRAM_MODULE_07;PROGRAM_MODULE_10,PROGRAM_MODULE_05,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ADAM10,S2,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,2,3,6,5,1,3,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_10,,PROGRAM_MODULE_04;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ADGRE5,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ADM,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ALCAM,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ANGPT1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ANGPTL4,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ANXA1,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_DOWN,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,6,5,0,3,NO,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ANXA2,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,1,6,5,0,2,NO,PROGRAM_MODULE_06;PROGRAM_MODULE_07,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
APP,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,1,6,5,0,1,NO,PROGRAM_MODULE_01,,PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ARF1,S2,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,0,4,3,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ATP1B1,S2,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
B2M,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_UP,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
BDNF,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
BGN,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,5,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
BMP1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CALM1,S2,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,2,1,3,3,0,0,NO,,,PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CALM2,S2,ROBUST_BASELINE_SENDER,P3_FULL_LR_SENSITIVITY,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,2,1,3,3,0,0,NO,,,PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CALM3,S2,ROBUST_BASELINE_SENDER,P3_FULL_LR_SENSITIVITY,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,2,1,3,3,0,0,NO,,,PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CALR,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CCL2,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_UP,TIER_B_COMPATIBILITY_CANDIDATE,0,3,1,6,5,0,1,NO,PROGRAM_MODULE_05,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CD320,S2,ROBUST_BASELINE_SENDER,P3_FULL_LR_SENSITIVITY,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CD44,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CD47,S2,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CD55,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,0,3,3,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CD58,S1,ROBUST_BASELINE_SENDER,P2_EXTRACELLULAR_EXTENDED,LICENSING_CONSISTENT_UP,TIER_B_COMPATIBILITY_CANDIDATE,0,1,1,2,2,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CD59,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,3,0,3,3,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CD9,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_DOWN,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CD99,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_B_COMPATIBILITY_CANDIDATE,0,4,1,6,5,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CFH,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_UP,TIER_B_COMPATIBILITY_CANDIDATE,0,3,0,3,3,0,0,NO,,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
CKLF,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,DONOR_DEPENDENT,TIER_B_COMPATIBILITY_CANDIDATE,0,1,0,2,1,0,0,NO,,,PROGRAM_MODULE_07,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
